Category,Metric,Value
Dataset,Total Samples,240
Dataset,Positive Samples,129
Dataset,Negative Samples,111
Dataset,Positive Ratio,0.5375
Performance,Total Time (s),0.0000
Performance,Peak Memory (MB),193.39
Performance,CPU Time (s),10.2344
